Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2021:Q1,Bottom50,8061627,5355341,3923093,1432248,2706286,740782,21720,25278,25278,0,2935,2376,559,327506,151174,46833,538444,386180,178817,286617,5061082,5057709,2386048,2336833,110422,224406,3373,3000545,64978474,
2021:Q2,TopPt1,18387790,1913134,1441151,471984,16474656,1394165,329984,458503,449846,8657,319434,296279,23155,9357711,203179,38310,131370,187198,4021320,33481,161363,159070,60340,33309,6681,58740,2293,18226428,130596,
2021:Q2,RemainingTop1,24472318,3999577,3656155,343422,20472741,1915007,518342,636432,620312,16120,322124,312637,9487,11121085,365557,159395,1066740,840488,3447697,79873,711134,703967,412955,78215,56046,156751,7167,23761184,1170086,
2021:Q2,Next9,54143789,12548091,11131524,1416567,41595698,4906958,1122033,1163695,1144867,18828,340484,317697,22786,14875695,592099,1447448,4570648,7708470,4552489,315677,3200817,3188866,2645550,368210,25313,149792,11951,50942972,11713929,
2021:Q2,Next40,46740765,18849173,16108519,2740654,27891592,4895062,632287,583408,576976,6432,140526,116174,24352,4607986,650909,940146,4077283,8717487,1970536,675962,7455045,7441526,5674970,1498423,70377,197756,13519,39285721,52057184,
2021:Q2,Bottom50,8455151,5649277,4132475,1516801,2805874,749950,21723,24780,24473,307,3153,2637,516,370162,153843,48497,562664,406165,176528,288410,5281858,5278528,2528355,2407028,107599,235546,3330,3173293,65088888,
2021:Q3,TopPt1,18923142,2017609,1519224,498384,16905533,1422502,323754,480774,459680,21094,331048,306240,24808,9447842,207991,44125,128320,208109,4276747,34321,165557,163235,61499,35372,7316,59048,2322,18757585,130774,
2021:Q3,RemainingTop1,24793316,4127832,3778687,349144,20665484,1936694,493095,658791,618444,40347,306786,297405,9381,11098742,364197,168411,1073931,853848,3630752,80238,720302,713274,404831,83374,62405,162665,7027,24073014,1172164,
2021:Q3,Next9,55060096,13136608,11672341,1464267,41923488,4948393,1097433,1202067,1155318,46749,375825,353053,22772,15031255,600162,1423173,4560318,7561762,4803819,319279,3269117,3257106,2689442,386900,27220,153543,12011,51790979,11733761,
2021:Q3,Next40,48145589,19767585,16921975,2845610,28378004,4975595,627452,601757,584646,17111,153507,129265,24242,4687130,655603,972584,4036126,8894281,2084235,689734,7595577,7582038,5788473,1523151,71304,199110,13539,40550012,52146250,
2021:Q3,Bottom50,8715911,5865552,4289341,1576211,2850359,763860,21177,25393,24643,750,3465,2987,478,382523,155340,50275,555203,425076,174058,293988,5394588,5391250,2605944,2431390,108074,245842,3338,3321323,65200349,
2021:Q4,TopPt1,19630966,2083258,1560644,522614,17547707,1498770,352391,427983,425152,2831,335335,308976,26360,9848480,212716,50518,132339,228603,4425663,34909,169956,167584,62854,37920,7727,59084,2372,19461009,130945,
2021:Q4,RemainingTop1,25314178,4158484,3802423,356061,21155694,2012081,500310,574990,568998,5992,294720,285442,9277,11402306,362686,176981,1128428,872868,3750161,80165,736285,729316,395587,89380,76765,167584,6970,24577893,1174292,
2021:Q4,Next9,56214579,13431559,11913862,1517697,42783020,5090532,1130344,1076848,1069485,7363,395073,372327,22746,15622129,608012,1380789,4746007,7462735,4949583,320968,3345766,3333629,2739260,411109,32515,150746,12137,52868813,11753807,
2021:Q4,Next40,49467260,20198989,17242720,2956269,29268271,5178624,649580,546632,544256,2376,161442,137309,24133,4884529,660124,1001190,4215657,9106975,2164585,698933,7760171,7746575,5908685,1560282,81146,196462,13596,41707090,52236604,
2021:Q4,Bottom50,8978410,6022508,4384041,1638466,2955903,798533,22338,23650,23554,96,3659,3217,442,408352,156800,52115,575860,445641,171440,297515,5505152,5501793,2686561,2449839,114308,251084,3360,3473258,65313076,
2022:Q1,TopPt1,19635830,2269821,1714525,555296,17366009,1543699,353856,457264,457264,0,363989,337104,26885,9413670,214237,59828,122804,252094,4549151,35415,172077,169510,63192,38880,8376,59062,2567,19463753,131107,
2022:Q1,RemainingTop1,25142811,4472328,4109581,362747,20670483,2052580,483550,593046,593046,0,273413,264622,8790,10844541,355319,183172,1089696,860359,3854854,79952,750928,743427,393550,93681,83872,172323,7501,24391883,1176475,
2022:Q1,Next9,56431025,14620822,13051145,1569677,41810203,5166939,1119477,1130297,1130297,0,467621,445999,21623,15044415,606710,1246472,4548906,7086829,5070498,322037,3381700,3368964,2765409,422217,34675,146662,12736,53049325,11774108,
2022:Q1,Next40,51304080,22125389,19048542,3076847,29178692,5302242,650772,576791,576791,0,185440,162331,23109,4761540,657201,1009956,3967702,9123093,2237287,706668,7871557,7857647,6017993,1564189,82440,193025,13909,43432523,52328442,
2022:Q1,Bottom50,9273915,6326243,4618541,1707702,2947672,819750,22187,24404,24404,0,4209,3846,363,397303,156607,54248,542241,457565,168776,300382,5610739,5607260,2779043,2458014,114853,255349,3480,3663176,65427287,
2022:Q2,TopPt1,18248031,2376050,1818140,557911,15871981,1527929,373101,505185,505185,0,350828,323729,27099,7655782,213617,69831,104779,274531,4760197,36201,176550,174027,64918,41948,8941,58219,2523,18071481,131261,
2022:Q2,RemainingTop1,23396614,4624820,4257347,367473,18771794,2025424,483263,632355,632355,0,268555,260285,8269,8911420,344032,188813,988412,836715,4012569,80236,757274,750209,381876,100278,93873,174181,7065,22639341,1178718,
2022:Q2,Next9,53991568,15334009,13725301,1608709,38657559,5116423,1138218,1223742,1223742,0,449402,429015,20387,12588479,599295,1090125,4097005,6751002,5278588,325281,3449797,3437236,2825810,450860,38023,122543,12561,50541771,11794701,
2022:Q2,Next40,51349702,23271753,20136274,3135479,28077949,5271763,666022,625786,625786,0,180929,158949,21980,4113860,649307,1014021,3447096,9051478,2338036,719650,8040378,8026576,6148817,1613778,86686,177295,13802,43309323,52421962,
2022:Q2,Bottom50,9436236,6623758,4886759,1736999,2812478,814829,22910,25626,25626,0,4091,3805,286,327590,155310,56453,473809,460275,165991,305594,5715181,5711743,2863033,2487278,117039,244393,3439,3721054,65543199,
2022:Q3,TopPt1,17871159,2333333,1764054,569279,15537826,1499803,399070,612227,612227,0,331776,304443,27333,7242559,216281,78490,97592,296124,4726829,37075,182422,179866,67126,45056,9607,58077,2556,17688737,131406,46277049
2022:Q3,RemainingTop1,22719884,4453332,4081373,371959,18266551,1984601,489202,725887,725887,0,265343,257506,7838,8380074,338772,195577,960486,821411,4024520,80679,755420,748484,363039,105984,100860,178600,6936,21964464,1181029,11200774
2022:Q3,Next9,52646210,14973931,13327317,1646614,37672279,5040228,1168340,1435381,1435381,0,418669,399286,19383,12021722,601349,975824,3948613,6487901,5245038,329213,3532673,3520040,2889270,475061,40111,115599,12632,49113537,11815628,2153046
2022:Q3,Next40,50585676,22728210,19523268,3204942,27857466,5210161,686764,734089,734089,0,172357,151314,21043,3984133,649120,1027270,3265625,9031668,2361969,734309,8182881,8169052,6258025,1651234,87696,172097,13830,42402794,52517360,242645
2022:Q3,Bottom50,9379649,6599441,4825582,1773860,2780208,804624,23965,27943,27943,0,3883,3660,223,316679,155727,58528,448625,465269,163412,311552,5789389,5785940,2909897,2512071,117378,246593,3449,3590260,65661032,
2022:Q4,TopPt1,18243155,2310932,1732303,578629,15932223,1450032,434585,778175,778175,0,317854,291220,26635,7629843,219268,78302,103023,298442,4584725,37974,184220,181894,68535,46844,9401,57114,2326,18058935,131713,
2022:Q4,RemainingTop1,23126497,4375033,4001029,374004,18751464,1929624,520211,872341,872341,0,269539,261953,7586,8787131,344117,196341,1000560,807477,3941829,82293,757090,751093,359649,108359,107981,175104,5997,22369407,1183786,
2022:Q4,Next9,53124322,14713075,13055816,1657259,38411247,4940148,1226278,1757937,1757937,0,389493,370812,18681,12579533,609885,989855,4112644,6363844,5105419,336211,3568551,3556655,2936417,491741,43009,85489,11895,49555771,11843211,
2022:Q4,Next40,50475711,22322124,19088075,3234049,28153587,5086337,715002,894299,894299,0,162714,142281,20433,4142622,656438,1032217,3439406,8954752,2318807,750993,8282617,8269172,6322632,1697663,94775,154102,13445,42193094,52639960,
2022:Q4,Bottom50,9317747,6509139,4717617,1791521,2808609,783449,25684,30090,30090,0,3645,3447,199,333826,157380,58628,470933,462064,163928,318981,5842826,5839528,2944192,2549638,121130,224568,3298,3474921,65814315,
2023:Q1,TopPt1,18880745,2315315,1731184,584131,16565430,1392566,513707,940559,940559,0,310940,284227,26713,8182100,224042,76319,108950,298921,4478790,38535,186909,184492,70217,47389,9723,57163,2417,18693836,132147,
2023:Q1,RemainingTop1,23840774,4370826,3992551,378275,19469948,1866294,587900,1001271,1001271,0,272335,264727,7608,9366299,352684,198843,1044159,815035,3881797,83331,739071,732716,350197,108141,99198,175179,6355,23101703,1187690,
2023:Q1,Next9,54436868,14710979,13031600,1679379,39725888,4825499,1350220,2054552,2054552,0,374188,355455,18733,13372297,623537,1063915,4291095,6427822,5002097,340666,3604063,3591856,2979569,491346,39430,81512,12207,50832805,11882272,
2023:Q1,Next40,51016741,22321775,19046853,3274921,28694967,4944030,774243,1039988,1039988,0,157930,137438,20492,4366918,668074,1050984,3628971,9014517,2287803,761508,8304433,8290795,6357598,1695161,85976,152060,13637,42712309,52813577,
2023:Q1,Bottom50,9402315,6554378,4739332,1815046,2847937,759074,29469,30640,30640,0,3531,3332,199,358284,160004,58600,495251,464911,164541,323633,5821644,5818279,2934562,2544685,116847,222185,3365,3580671,66031384,
2023:Q2,TopPt1,19625775,2402345,1806385,595960,17223431,1362101,560024,967354,967354,0,311352,284871,26480,8693787,227159,74604,114606,298502,4574944,38998,189483,187066,71288,48621,9803,57353,2418,19436292,132276,
2023:Q2,RemainingTop1,24728316,4583559,4202553,381006,20144757,1832466,626776,1021441,1021441,0,272425,264901,7524,9899991,358347,200520,1084904,822755,3940975,84158,735062,728709,346780,109774,96319,175836,6354,23993253,1188846,
2023:Q2,Next9,56277436,15367354,13672968,1694386,40910082,4763151,1420024,2102036,2102036,0,375064,356563,18501,14100756,632475,1121517,4457803,6494910,5098090,344256,3652774,3640562,3013889,502702,38258,85713,12212,52624662,11893839,
2023:Q2,Next40,52766352,23595135,20280906,3314228,29171217,4867441,806958,1063176,1063176,0,158106,137816,20289,4570843,675503,1064288,3809348,9066122,2319353,770080,8376246,8362599,6400908,1723898,83117,154676,13647,44390105,52864990,
2023:Q2,Bottom50,9527020,6636459,4797430,1839030,2890560,746024,31659,30611,30611,0,3532,3341,191,380960,161666,58481,518285,467239,164649,327454,5856641,5853273,2955825,2556709,115316,225424,3367,3670379,66095664,
2023:Q3,TopPt1,19270551,2416626,1822975,593650,16853926,1332289,608253,983398,983398,0,292317,265811,26506,8316881,225687,68668,110992,299605,4576439,39396,191754,189272,72380,49396,9814,57682,2482,19078797,132214,
2023:Q3,RemainingTop1,24366060,4627951,4246130,381820,19738109,1798915,666617,1033031,1033031,0,275983,268449,7534,9507192,355674,205324,1058938,810269,3941319,84849,734154,727537,343974,110988,95545,177030,6617,23631905,1188286,
2023:Q3,Next9,55842646,15502513,13803645,1698868,40340133,4699374,1490361,2129822,2129822,0,336088,317559,18529,13564830,628255,1307644,4351566,6385594,5099312,347286,3708578,3696157,3051439,510704,37944,96070,12420,52134069,11888234,
2023:Q3,Next40,52719526,23892070,20574317,3317753,28827455,4790475,839346,1076684,1076684,0,145559,125247,20313,4421052,671993,1104338,3694117,8987078,2319425,777387,8449841,8436084,6451672,1741192,82359,160861,13757,44269684,52840074,
2023:Q3,Bottom50,9509760,6663402,4822713,1840689,2846358,733025,33919,30541,30541,0,3235,3043,192,364255,160881,57874,503579,463746,164569,330734,5891034,5887623,2989066,2550716,114849,232992,3410,3618726,66064513,
2023:Q4,TopPt1,20094326,2417512,1811851,605661,17676814,1345266,654665,1082240,1082240,0,299461,273117,26344,9131537,227780,74358,122116,296986,4402042,40362,193968,191423,73376,50579,9800,57668,2545,19900358,132281,
2023:Q4,RemainingTop1,25315284,4604703,4223622,381081,20710581,1813614,704780,1102894,1102894,0,274825,267348,7477,10355043,359484,200733,1138249,837841,3836563,86554,733719,726847,340947,112464,96471,176964,6872,24581565,1188891,
2023:Q4,Next9,57438526,15434788,13739520,1695268,42003738,4727718,1557393,2298978,2298978,0,350694,332325,18369,14720800,634259,1129411,4676006,6627335,4926419,354723,3751267,3738640,3083943,521498,38320,94879,12628,53687259,11894284,
2023:Q4,Next40,53441324,23684250,20354949,3329301,29757073,4824403,870046,1158724,1158724,0,150196,130024,20172,4743279,676960,1066032,4048398,9159730,2264074,795230,8520737,8506863,6493447,1769955,83266,160194,13873,44920587,52866967,
2023:Q4,Bottom50,9577693,6625252,4776124,1849128,2952441,738731,36089,29946,29946,0,3343,3156,187,400368,161990,58459,548718,471344,164738,338714,5931773,5928320,3011512,2569212,115404,232192,3454,3645920,66098136,
2024:Q1,TopPt1,20936980,2496483,1879342,617141,18440498,1377169,668067,1062005,1062005,0,298499,272430,26069,9938511,232364,73012,130698,297730,4321432,41010,195446,192756,74305,50261,9795,58396,2690,20741534,132717,
2024:Q1,RemainingTop1,26416470,4796499,4412431,384068,21619971,1850369,716284,1090149,1090149,0,275896,268521,7375,11195016,367703,202716,1199599,842951,3791548,87743,732754,725307,336139,111313,98395,179461,7447,25683716,1192813,
2024:Q1,Next9,59523471,16027384,14316689,1710695,43496087,4801224,1578528,2266407,2266407,0,348259,330177,18082,15866111,647366,1183477,4926982,6669783,4848112,359838,3784003,3770891,3107699,514138,39099,109955,13112,55739468,11933523,
2024:Q1,Next40,55315241,24826130,21457586,3368544,30489110,4910607,880181,1143128,1143128,0,149335,129407,19928,5062622,688155,1080482,4321805,9204497,2240966,807332,8534863,8520704,6514416,1751490,85127,169670,14159,46780378,53041375,
2024:Q1,Bottom50,9748388,6699393,4826675,1872718,3048995,753074,36731,30236,30236,0,3318,3142,176,436140,164517,58495,583574,473537,165298,344075,5932159,5928603,3003803,2564170,116677,243952,3557,3816229,66316194,
2024:Q2,TopPt1,21235166,2560938,1939393,621545,18674228,1353135,684860,1109994,1109994,0,295011,269285,25725,10106933,233735,72378,133045,298331,4345231,41576,197362,194669,75145,50872,9854,58799,2693,21037804,132995,
2024:Q2,RemainingTop1,26824830,4965697,4579682,386015,21859132,1824085,730325,1123713,1123713,0,276979,269727,7253,11371355,370094,203793,1216634,844944,3808440,88770,732701,725250,335146,112310,96963,180831,7451,26092128,1195312,
2024:Q2,Next9,60481678,16545379,14824765,1720614,43936299,4754525,1603640,2348065,2348065,0,341041,323299,17742,16107280,651261,1210840,4996690,6685751,4872930,364276,3827091,3813960,3137651,520280,38515,117514,13130,56654588,11958526,
2024:Q2,Next40,56533575,25859473,22469913,3389560,30674102,4852004,891902,1182686,1182686,0,146865,127235,19630,5130640,691663,1088152,4396718,9225192,2250407,817875,8598735,8584551,6560011,1766358,83688,174494,14184,47934840,53152506,
2024:Q2,Bottom50,9823989,6760708,4875692,1885016,3063281,742982,37523,29909,29909,0,3256,3091,165,443600,165320,58540,593157,474591,165643,348759,5966698,5963136,3030148,2567013,116011,249964,3562,3857291,66455138,
2024:Q3,TopPt1,22326521,2559288,1932577,626711,19767232,1377965,730647,1174084,1174084,0,313721,288480,25241,11008231,235402,71231,140485,298361,4374748,42358,198298,195755,75787,51142,9889,58938,2543,22128223,133190,
2024:Q3,RemainingTop1,27928003,4947266,4559121,388145,22980737,1852358,767717,1166619,1166619,0,273438,266354,7084,12304968,373067,205133,1268961,850249,3828063,90165,732554,725715,335706,112569,96161,181280,6839,27195449,1197064,
2024:Q3,Next9,62309344,16495862,14764060,1731802,45813482,4809671,1668825,2454580,2454580,0,379712,362435,17277,17377056,656022,1252255,5210691,6731247,4903085,370338,3856323,3843673,3163746,522717,38188,119022,12651,58453021,11976055,
2024:Q3,Next40,57247311,25748992,22335373,3413620,31498319,4917590,921514,1234035,1234035,0,159076,139862,19215,5481275,695773,1098359,4633226,9263961,2261152,832358,8656247,8642313,6605142,1778726,82878,175566,13934,48591064,53230416,
2024:Q3,Bottom50,9931156,6775691,4876459,1899233,3155464,753976,39655,29265,29265,0,3540,3390,150,483577,166251,58503,623203,476394,165883,355218,6032165,6028701,3062591,2599127,115646,251336,3464,3898990,66552546,
2024:Q4,TopPt1,22337914,2553493,1919343,634150,19784421,1418584,798140,1105632,1105632,0,248821,224039,24781,11047971,234574,71904,140369,298630,4375851,43945,198555,196217,77131,50297,9215,59575,2337,22139360,133378,
2024:Q4,RemainingTop1,28002099,4910345,4517487,392858,23091753,1898289,822298,1121845,1121845,0,280661,273736,6925,12347342,371465,204947,1268567,852973,3830391,92973,684002,678002,330484,110903,53134,183481,6000,27318097,1198754,
2024:Q4,Next9,62224867,16395250,14638175,1757075,45829618,4897917,1762942,2342207,2342207,0,250694,233853,16841,17435547,653615,1235926,5209114,6754120,4904965,382571,3881410,3869423,3204372,511261,20822,132967,11988,58343457,11992960,
2024:Q4,Next40,57175482,25562321,22100191,3462130,31613161,5023443,963758,1180002,1180002,0,116914,98092,18822,5498342,694044,1095977,4629796,9286499,2262713,861673,8637764,8624181,6651962,1745922,42033,184264,13583,48537718,53305558,
2024:Q4,Bottom50,10005375,6813602,4886012,1927590,3191773,771797,42779,30066,30066,0,2535,2398,137,485333,165883,58642,622819,477482,166118,368320,5998531,5995203,3079473,2570492,83130,262109,3328,4006844,66646494,
