Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2011:Q3,TopPt1,7012029,928237,641897,286339,6083792,607678,193114,1100293,833895,266397,175636,157773,17863,2292178,110493,29821,65385,131983,1354073,23139,106677,105411,51259,13002,14377,26774,1266,6905351,119338,
2011:Q3,RemainingTop1,11493063,2133119,1830496,302623,9359945,980165,342677,977305,715319,261986,512893,483358,29535,3027591,200523,151343,538668,805813,1764927,58040,510940,507014,342356,59763,16241,88654,3926,10982123,1069269,
2011:Q3,Next9,27151301,6548492,5535436,1013056,20602809,2688739,698852,1362764,1006308,356457,292336,238367,53969,4223646,404699,847753,1769810,5806333,2287634,220242,2439184,2431364,2043320,204079,24662,159303,7821,24712116,10708048,
2011:Q3,Next40,24429150,9572679,7633581,1939098,14856471,2283304,367676,673323,448066,225258,83785,53420,30366,1606283,523118,530521,1665380,5488760,1187948,446372,5215490,5205394,4174880,892058,33359,105097,10096,19213659,47590447,
2011:Q3,Bottom50,5181334,3739538,2650025,1089513,1441795,314162,22310,38502,27737,10765,4297,997,3300,83486,117161,28347,271991,213587,157896,190057,4910318,4907954,3193955,1533273,59653,121073,2364,271015,59503261,
2011:Q4,TopPt1,7253345,934397,633137,301260,6318948,633834,193941,1068130,800305,267825,163091,143756,19335,2479583,114468,26220,70820,120038,1424927,23898,102951,101701,48757,13211,14321,25411,1250,7150394,119697,
2011:Q4,RemainingTop1,11774860,2145553,1837297,308257,9629307,1009703,353655,971805,704988,266817,516703,486462,30241,3192917,214694,158109,558616,820719,1772733,59653,510906,506934,342839,57345,16302,90448,3972,11263954,1073179,
2011:Q4,Next9,27605028,6506909,5501130,1005779,21098119,2722132,714820,1357561,1000624,356937,263292,210943,52349,4466636,415714,874827,1834217,5865743,2358239,224938,2440207,2432393,2041785,210688,26429,153492,7814,25164821,10746375,
2011:Q4,Next40,24730132,9520020,7584365,1935655,15210112,2343638,366621,667200,441510,225690,74133,43823,30310,1698452,525196,540313,1794550,5546188,1191664,462158,5236601,5226586,4186198,910757,35463,94168,10015,19493531,47758705,
2011:Q4,Bottom50,5137498,3663741,2570038,1093703,1473757,325102,22578,38245,27354,10891,4402,621,3781,89648,118464,28530,282283,216138,153105,195262,4880767,4878415,3136154,1564225,66773,111264,2352,256730,59716785,
